country_code,category_code,record_type,product_code,product_name,benefit,value
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,even_tone,5.21
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,even_tone,5.19
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,even_tone,5.27
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,even_tone,5.17
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,even_tone,5.07
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,even_tone,5.01
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,even_tone,4.72
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,even_tone,4.93
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,even_tone,4.8
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,even_tone,5.09
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,even_tone,4.94
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,even_tone,5.13
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,even_tone,4.97
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,even_tone,4.97
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,even_tone,5.13
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,even_tone,4.79
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,even_tone,5.09
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,even_tone,4.82
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,even_tone,4.85
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,even_tone,5.12
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,even_tone,5.09
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,even_tone,4.79
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,even_tone,4.55
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,even_tone,5.03
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,even_tone,4.56
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,even_tone,5.16
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,even_tone,5.04
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,even_tone,4.91
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,even_tone,5.08
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,even_tone,4.99
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,even_tone,5.05
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,even_tone,4.73
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,even_tone,5.18
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,even_tone,5.07
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,even_tone,4.65
IN,FC,blind_hut_benefit_score,IN652S,BOROPLUS antiseptic cream: IN652S,even_tone,4.89
IN,FC,blind_hut_benefit_score,CN740S,CathKidston Rose Mask: CN740S,even_tone,4.78
IN,FC,blind_hut_benefit_score,US241W,ELIZABETH ARDEN 8 hour cream: US241W,even_tone,4.16
IN,FC,blind_hut_benefit_score,IN641S,Fragrance caring florals - VIP list LY: IN641S,even_tone,5.23
IN,FC,blind_hut_benefit_score,IN649S,Nature republic aloe vera gel: IN649S,even_tone,4.95
IN,FC,blind_hut_benefit_score,IN655S,OLAY Natural Aura 7 IN ONE Instant Glowing Radiance with UV Protection: IN655S,even_tone,5.07
