country_code,category_code,record_type,product_code,product_name,pc1,pc2,benefit
IN,FC,pca_coordinate,in667w,lakme spf 50,-16.091,18.509,SUNCARE
IN,FC,pca_coordinate,in748s,current serum with moisturising base_mp45,0.8,97.642,BARRIER
IN,FC,pca_coordinate,in521w,invisible light serum -4,3.301,59.188,SUNCARE
IN,FC,pca_coordinate,in669w,kp57,-21.843,20.706,SUNCARE
IN,FC,pca_coordinate,in763w,plgm06_without alcohol,4.489,50.524,SUNCARE
IN,FC,pca_coordinate,in522w,invisible light serum -vm02,4.116,76.859,SUNCARE
IN,FC,pca_coordinate,in787s,wt23,3.694,84.715,TONE
IN,FC,pca_coordinate,in788s,nv87,7.184,95.838,TONE
IN,FC,pca_coordinate,in722w,phygital tinted sunscreen spf50_fnd31205,-12.581,0.856,SUNCARE
IN,FC,pca_coordinate,in723w,garnier super uv invisible serum sunscreen spf50,3.244,85.705,SUNCARE
IN,FC,pca_coordinate,in670w,plgmo2  mod_bright and protect,-10.29,34.123,SUNCARE
IN,FC,pca_coordinate,in668w,plgmo2  mod_hydrate and protect,-12.662,35.47,SUNCARE
IN,FC,pca_coordinate,in671w,pslg control_qs39,-17.745,27.925,BARRIER
IN,FC,pca_coordinate,in673w,pslg cctg_r241,-16.349,28.577,BARRIER
IN,FC,pca_coordinate,in679s,plgm02_hydrate w alcohol,10.299,67.963,SUNCARE
IN,FC,pca_coordinate,in680s,plgm02_hydrate no alcohol (plgm03),10.098,47.203,SUNCARE
IN,FC,pca_coordinate,in681s,plgm02_hydrate no alcohol optimise 1 (plgm04),8.247,44.523,SUNCARE
IN,FC,pca_coordinate,in682s,plgm02_hydrate no alcohol optimise 2 (plgm06),9.069,50.434,SUNCARE
IN,FC,pca_coordinate,in676w,garnier vitamin c serum cream_hj25,53.697,-35.657,SKIN LIGHTENING
IN,FC,pca_coordinate,in677w,pbb spf15 cream ks79_km51,49.909,-44.366,SKIN LIGHTENING
IN,FC,pca_coordinate,in678w,pbb spot cream l63_sp17,51.089,-41.549,SKIN LIGHTENING
IN,FC,pca_coordinate,in674w,pbb gel creme_ch18,-4.643,-8.488,SKIN LIGHTENING
IN,FC,pca_coordinate,in675w,pbb gel_sn09,-10.68,-4.038,SKIN LIGHTENING
IN,FC,pca_coordinate,in684w,plm,-13.734,-13.909,BARRIER
IN,FC,pca_coordinate,in687w,nivea soft,-25.135,-5.46,BARRIER
IN,FC,pca_coordinate,in693s,g35,1.881,-10.551,SUNCARE
IN,FC,pca_coordinate,in694s,7lpg35,27.354,-32.184,SUNCARE
IN,FC,pca_coordinate,in695s,7bg35,26.092,-35.474,SUNCARE
IN,FC,pca_coordinate,in710w,dot key vitamin c e super bright sunscreen spf50,-3.909,104.96,SUNCARE
IN,FC,pca_coordinate,in711w,aqualogica glow infused water sunscreen spf 50,-15.935,93.716,SUNCARE
IN,FC,pca_coordinate,in712w,minimalist light fluid spf 50,-10.507,87.521,SUNCARE
IN,FC,pca_coordinate,in700s,gal glowrious lt (pk28),31.959,-27.622,TONE
IN,FC,pca_coordinate,in701s,gal glow gel (ks76),12.603,-14.491,TONE
IN,FC,pca_coordinate,in708s,vaseline face cream vfc 01,-18.647,-8.375,BARRIER
IN,FC,pca_coordinate,in709s,vaseline face cream vch 02,-17.625,-9.249,BARRIER
IN,FC,pca_coordinate,in713s,lakme glycolic illuminate day crème current_gd,22.625,-5.924,TONE
IN,FC,pca_coordinate,in715s,lakme absolute perfect radiance light creme current lc,36.638,-42.926,TONE
IN,FC,pca_coordinate,in716s,lakme 9to5 vitamic c day cream current,18.134,57.072,TONE
IN,FC,pca_coordinate,in717s,lakme absolute perfect radiance day creme prototype ld,8.041,-6.119,TONE
IN,FC,pca_coordinate,in718s,lakme absolute perfect radiance light creme prototype lg,-2.495,-4.304,TONE
IN,FC,pca_coordinate,in721s,loreal glycolic bright glowing cream day spf 17,5.078,-25.478,TONE
IN,FC,pca_coordinate,in535w,novology tinted sunscreen ts15,-25.65,-31.414,SUNCARE
IN,FC,pca_coordinate,in536w,simple hydrating light moisturiser control,1.075,-11.922,BARRIER
IN,FC,pca_coordinate,in537w,simple hydrating light moisturiser klk cetyl alcohol,-3.86,-10.246,BARRIER
IN,FC,pca_coordinate,in543w,simple protecting light moisturiser spf 15 control,-3.591,-19.016,SUNCARE
IN,FC,pca_coordinate,in544w,simple protecting light moisturiser spf 15 klk cetyl alcohol,-4.509,-8.284,SUNCARE
IN,FC,pca_coordinate,in545s,pbb_sp17_current,52.992,-45.923,TONE
IN,FC,pca_coordinate,in546s,pbb_ye11,51.909,-47.06,TONE
IN,FC,pca_coordinate,in547s,pbb_mo49,53.1,-30.3,TONE
IN,FC,pca_coordinate,in548s,pbb_qw41,52.794,-38.157,TONE
IN,FC,pca_coordinate,in549s,pbb_wx32,53.383,-47.031,TONE
IN,FC,pca_coordinate,in550s,pbb_au14,52.287,-41.384,TONE
IN,FC,pca_coordinate,in551s,garnier bright complete vitamin c serum cream,53.5,-39.825,SKIN LIGHTENING
IN,FC,pca_coordinate,in569w,plm_at28_prototype,-16.236,-3.13,BARRIER
IN,FC,pca_coordinate,in570w,plm_at29_current,-14.265,-4.712,BARRIER
IN,FC,pca_coordinate,in578w,ecwoa-01,-2.818,57.692,SUNCARE
IN,FC,pca_coordinate,in579w,ecwa-01,-10.904,24.588,SUNCARE
IN,FC,pca_coordinate,in587w,lakme glycolic illuminate serum_ea76,24.761,125.283,TONE
IN,FC,pca_coordinate,in588w,lakme perfect radiance serum_tc39,-7.538,95.413,TONE
IN,FC,pca_coordinate,in589w,lakme absolute hydra pro serum_hd83,-3.021,105.638,BARRIER
IN,FC,pca_coordinate,in590w,olay retinol24 night serum frag free_wx14,-17.253,88.964,TEXTURE
IN,FC,pca_coordinate,in827w,cerave facial moisturizing lotion pm_3337875597449,-18.155,23.964,TEXTURE
IN,FC,pca_coordinate,in869w,olay retinol24 max night moisturizer_bg99_in752w,-39.98,-9.9,TEXTURE
IN,FC,pca_coordinate,in817s,gal spf50 gel_gl,-4.897,31.135,SUNCARE
IN,FC,pca_coordinate,in870w,lakme peach milk vit e creme moisturizer_mm33_in756w,-18.1,-2.59,BARRIER
IN,FC,pca_coordinate,in818s,gal spf50 gel_glo,-10.944,28.481,SUNCARE
