country_code,category_code,record_type,platform,study_name,product_code,product_name,response,product_plm_code,driver,importance_percent,country,year
IN,HRC,rwa_driver_importance,Dry,Dove Intense Repair Blind Test (CTI_Dove_IR_pdt_imp_IN_HV),UD68,Pantene: Damage Repair (sachet),overall opinion appearance of shampoo,NONE,easy to finger through comb when wet,1.81,India,2022
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes my hair easy to comb when dry,2.44,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion product,NONE,makes my hair stronger,9.29,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion product,NONE,cares for my hair,1.97,India,2021
IN,HRC,rwa_driver_importance,Dry,Dove Intense Repair Blind Test (CTI_Dove_IR_pdt_imp_IN_HV),UD68,Pantene: Damage Repair (sachet),overall opinion appearance of shampoo,NONE,is pleasurable to use,2.45,India,2022
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,reduces hair fall from roots,13.81,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,reduces hair fall,3.7,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,makes hair stronger,1.61,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,make my hair easy to comb when wet,2.73,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,does not cause dandruff flakes,2.88,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,absorbs easily into hair,28.16,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,ease of rinsing off shampoo,3.45,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,ease of lathering shampoo,13.47,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,nourishes hair well,8.19,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes my hair beautiful,11.81,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,gives me the look i want,3.01,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,is a high quality product,6.09,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,is delightful to use,1.59,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,reduces hair breakage,2.71,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,reduces hair fall,5.44,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes hair stronger,6.17,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,prevents hair fall,5.48,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes my hair full and thick,3.56,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,does not make my hair limp,8.34,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,reduces hair fall from roots,4.94,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,reduces hair fall,3.41,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,has a natural color,5.81,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,makes hair stronger,2.35,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,make my hair easy to comb when wet,1.97,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,does not cause dandruff flakes,1.73,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion appearance of shampoo,NONE,absorbs easily into hair,15.58,India,2021
