country_code,category_code,record_type,attribute_group,brand,product_type,product_name,attribute,value
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,gloss_rate,16.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,consistency_rate,3.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,ft_firmness,36.42857143
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,ft_stringiness,35.07142857
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,integrity_of_shape_rate,3.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,transparency_rate,5.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,ft_sticky,34.07142857
IN,FC,spider_attribute_score,appearance and texture,Ahc,Cream,CN745W_AVA cream light_CN745W,ft_peaking,34.14285714
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,gloss_rate,14.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,consistency_rate,7.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,ft_firmness,44.78571429
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,ft_stringiness,32.5
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,integrity_of_shape_rate,7.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,transparency_rate,10.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,ft_sticky,35.14285714
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN726W_AHC Only for man Pro Cream(MAB1034-ENB)_CN726W,ft_peaking,43.92857143
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,gloss_rate,15.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,consistency_rate,6.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,ft_firmness,43.21428571
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,ft_stringiness,33.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,integrity_of_shape_rate,7.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,transparency_rate,10.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,ft_sticky,34.14285714
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN727W_AHC Only for man Pro Cream(MAB1044-AMD)_CN727W,ft_peaking,43.07142857
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,gloss_rate,20.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,consistency_rate,3.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,ft_firmness,24.21428571
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,ft_stringiness,21.85714286
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,integrity_of_shape_rate,4.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,transparency_rate,8.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,ft_sticky,21.42857143
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN735S_SY-SCL-33_CN735S,ft_peaking,22.21428571
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,gloss_rate,20.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,consistency_rate,4.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,ft_firmness,23.85714286
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,ft_stringiness,22.78571429
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,integrity_of_shape_rate,4.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,transparency_rate,5.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,ft_sticky,21.92857143
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN736S_SY-SCL-33_CN736S,ft_peaking,22.28571429
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,gloss_rate,19.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,consistency_rate,1.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,ft_firmness,10.46666666666667
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,ft_stringiness,10.6
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,integrity_of_shape_rate,1.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,transparency_rate,1.0
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,ft_sticky,10.66666666666667
IN,FC,spider_attribute_score,appearance and texture,Ahc,Lotion,CN777S_AHC aespa single use serum_CN777S,ft_peaking,10.46666666666667
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,gloss_rate,18.0
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,consistency_rate,3.0
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,ft_firmness,13.71428571428571
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,ft_stringiness,13.71428571428571
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,integrity_of_shape_rate,2.0
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,transparency_rate,10.0
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,ft_sticky,14.0
IN,FC,spider_attribute_score,appearance and texture,Anessa,Cream,CN760W_ANESSA Perfect UV Sunscreen Skincare Milk SPF50_CN760W,ft_peaking,13.71428571428571
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,gloss_rate,18.0
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,consistency_rate,3.0
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,ft_firmness,16.21428571
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,ft_stringiness,15.5
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,integrity_of_shape_rate,2.0
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,transparency_rate,9.0
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,ft_sticky,16.07142857
IN,FC,spider_attribute_score,appearance and texture,Aqualogica,Cream,IN711W_AQUALOGICA Glow Infused Water Sunscreen SPF 50_IN711W,ft_peaking,15.78571429
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,gloss_rate,17.0
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,consistency_rate,4.0
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,ft_firmness,22.42857143
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,ft_stringiness,18.57142857
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,integrity_of_shape_rate,4.0
IN,FC,spider_attribute_score,appearance and texture,Coppertone,Cream,CN754W_COPPERTONE Water Babies Light Lotion SPF50_CN754W,transparency_rate,10.0
