id,stage_no,record_type,stage,attr_group,benefit,attribute,attr_low,attr_medium,attr_high,category_code,country_code,stage_group,attribute_rank
1,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_absorption,24.29,0,115.0,FC,IN,CLT B7-8 Skin feel IU,1
2197,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Reduce minimized pores,oily_ft,0.0,0,92.07,FC,IN,CLT B9-10 Skin feel IMD,4
2,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_wet,1.79,0,89.79,FC,IN,CLT B7-8 Skin feel IU,2
2198,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Reduce minimized pores,in_greasy,3.93,0,82.86,FC,IN,CLT B9-10 Skin feel IMD,5
1465,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,oily_ft,0.0,0,92.07,FC,IN,CLT B11-12 CLT Skin Feel 10min,5
1466,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_greasy_5min,1.71,0,72.36,FC,IN,CLT B11-12 CLT Skin Feel 10min,6
3,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_greasy,3.93,0,82.86,FC,IN,CLT B7-8 Skin feel IU,3
4,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_cooling,0.0,0,27.93,FC,IN,CLT B7-8 Skin feel IU,4
5,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,ft_peaking,3.57,0,78.27,FC,IN,CLT B7-8 Skin feel IU,5
6,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,ft_stringiness,3.57,0,67.36,FC,IN,CLT B7-8 Skin feel IU,6
7,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_creamy,7.0,0,65.33,FC,IN,CLT B7-8 Skin feel IU,7
8,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,oily_ft,0.0,0,92.07,FC,IN,CLT B7-8 Skin feel IU,8
9,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_spreadability,35.93,0,95.64,FC,IN,CLT B7-8 Skin feel IU,9
10,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,in_thickness,11.71,0,75.67,FC,IN,CLT B7-8 Skin feel IU,10
11,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,ft_firmness,6.71,0,79.57,FC,IN,CLT B7-8 Skin feel IU,11
12,1,sst_attribute_rank,CLT B7-8,Skin feel IU,Overall opinion,ft_sticky,4.93,0,74.43,FC,IN,CLT B7-8 Skin feel IU,12
13,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_thickness,11.71,0,75.67,FC,IN,CLT B9-10 Skin feel IMD,1
14,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_greasy,3.93,0,82.86,FC,IN,CLT B9-10 Skin feel IMD,2
15,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,oily_ft,0.0,0,92.07,FC,IN,CLT B9-10 Skin feel IMD,3
16,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,ft_sticky,4.93,0,74.43,FC,IN,CLT B9-10 Skin feel IMD,4
17,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_wet,1.79,0,89.79,FC,IN,CLT B9-10 Skin feel IMD,5
18,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,softness_imm,7.29,0,72.86,FC,IN,CLT B9-10 Skin feel IMD,6
19,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,ft_peaking,3.57,0,78.27,FC,IN,CLT B9-10 Skin feel IMD,7
20,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_absorption,24.29,0,115.0,FC,IN,CLT B9-10 Skin feel IMD,8
